supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
Morrisons,1.7,12.4,kg,Nairn's Gluten Free Cracked…,20240413,free-from,False
Morrisons,1.7,12.4,kg,Nairn's Gluten Free Seeded Crackers,20240413,free-from,False
Morrisons,1.7,11.3,kg,Nairn's Gluten Free Flatbre…,20240413,free-from,False
Morrisons,2.35,2.4,kg,Warburtons Glutenfree Soft Sliced Seeded Rolls,20240413,free-from,False
Morrisons,2.25,3.0,l,Califia Farms Mocha Cold Brew Coffee With Almond,20240413,free-from,False
Morrisons,1.5,11.1,kg,Mister Freed Cheezie Cheese…,20240413,free-from,False
Morrisons,1.0,35.7,kg,Popworks Sweet & Salty Popped Crisps,20240413,free-from,False
Morrisons,2.3,2.3,l,Rude Health Long Life Organic C…,20240413,free-from,False
Morrisons,1.25,6.9,kg,Mrs Crimble's Gluten Free 6 Big Coconut Macaroons,20240413,free-from,False
Morrisons,2.0,4.2,l,Morrisons Free From Ice Cream Chocolate,20240413,free-from,True
Morrisons,2.0,12.1,kg,Zest Vegan Basil Pesto,20240413,free-from,False
Morrisons,2.0,12.2,kg,Zest Vegan Red Pesto,20240413,free-from,False
Morrisons,1.25,0.62,unit,Morrisons Free From Cherry Bakewells,20240413,free-from,True
Morrisons,0.9,25.0,kg,Deliciously Ella Almond Butte…,20240413,free-from,False
Morrisons,2.5,7.3,kg,Zest Tomato Mushroom & Smok…,20240413,free-from,False
Morrisons,4.65,3.53,l,Skinny Brands Lager (Abv 4%),20240413,free-from,False
Morrisons,0.9,25.0,kg,Deliciously Ella Double Chocolate Caramel Cups,20240413,free-from,False
Morrisons,2.5,7.3,kg,Zest Tomato & Fiery Chilli Sauce,20240413,free-from,False
Morrisons,4.0,20.0,kg,Whitby Seafoods Gluten Free Battered Calamari,20240413,free-from,False
Morrisons,2.5,8.3,kg,Schar Gluten Free Wholesome Seeded Loaf,20240413,free-from,False
Morrisons,2.5,8.3,kg,Schar Gluten Free Wholesome White Loaf,20240413,free-from,False
Morrisons,2.5,14.7,kg,White Rabbit Classic Tiramisu,20240413,free-from,False
Morrisons,2.35,7.8,kg,Morrisons Free From Margherita…,20240413,free-from,True
Morrisons,2.35,7.6,kg,Morrisons Free From Pepperoni P…,20240413,free-from,True
Morrisons,2.25,10.0,kg,Flora Plant Butter,20240413,free-from,False
Morrisons,2.65,0.44,unit,Genius Delicously Gluten Free Blueberry Pancakes,20240413,free-from,False
Morrisons,2.65,0.44,unit,Genius Delicously Gluten Free Chocolate Pancakes,20240413,free-from,False
Morrisons,2.2,4.9,kg,Morrisons Fruit And Seeds Gluten Free Muesli,20240413,free-from,True
Morrisons,3.0,30.0,kg,Galaxy Vegan Fruit & Nut,20240413,free-from,False
Morrisons,1.5,37.5,kg,Galaxy Vegan Salted Caramel,20240413,free-from,False
Morrisons,1.3,8.7,kg,Chippa Worcester Sauce,20240413,free-from,False
Morrisons,2.0,19.2,kg,Schar Gluten Free Chilled Milk Cake,20240413,free-from,False
Morrisons,1.5,33.0,kg,Buttermilk Plant Powered Dairy Free…,20240413,free-from,False
Morrisons,2.89,24.1,kg,Gluten Free Galaxy Cookies,20240413,free-from,False
Morrisons,2.7,9.0,kg,Freee Gluten Free Organic Chocolate Stars,20240413,free-from,False
Morrisons,2.89,24.1,kg,Gluten Free Twix Cookies,20240413,free-from,False
Morrisons,2.99,12.0,l,Kikkoman Gluten Free Teriyaki Marinade,20240413,free-from,False
Morrisons,1.95,1.95,l,Smug Dairy Milk,20240413,free-from,False
Morrisons,2.5,14.3,kg,Violife Original Grated,20240413,free-from,False
Morrisons,2.5,14.3,kg,Violife Original Sliced,20240413,free-from,False
Morrisons,2.25,2.25,l,Plenish Organic Almond Milk,20240413,free-from,False
Morrisons,1.75,2.33,l,Alpro This Is Not Milk Semi Skimmed,20240413,free-from,False
Morrisons,3.6,7.5,kg,Promise Multigrain Loaf,20240413,free-from,False
Morrisons,2.0,2.67,l,Alpro Plain Protein Drink Fresh,20240413,free-from,False
Morrisons,1.75,2.33,l,Alpro This Is Not Milk Whole Fresh,20240413,free-from,False
