supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
Sains,1.0,5.0,l,SMA PRO First Baby Milk Liquid Ready To Feed 200ml,20240413,baby_products,False
Sains,1.2,6.0,l,Aptamil 2 Follow On Milk Ready to Feed Liquid 200ml,20240413,baby_products,False
Sains,0.8,40.0,kg,Organix Melty Organic Sweetcorn Rings Baby Puffs 6 months+ 20g,20240413,baby_products,False
Sains,7.0,4.89,l,Ecover Non-Bio Lavender & Sandalwood Laundry Liquid 1.43L 40 Washes,20240413,baby_products,False
Sains,5.25,0.53,unit,Huggies DryNites Boys Pyjama Pants for Bedwetting Age 4-7 Years 10 Nappy Pants,20240413,baby_products,False
Sains,4.25,0.02,unit,Pampers Sensitive Baby Wipes 4x52 Pack,20240413,baby_products,False
Sains,1.5,16.7,kg,Fruit Bowl Strawberry Yogurt Flakes 5x21g,20240413,baby_products,False
Sains,3.59,0.11,unit,"Sainsbury's Little Ones Size 6, 16kg+ Nappy Pants x32",20240413,baby_products,True
Sains,1.3,10.8,kg,"Ella's Kitchen Organic Sweet Potatoes, Pumpkin, Apples & Blueberries Baby Food Pouch 4+ Months 120g",20240413,baby_products,False
Sains,1.3,10.8,kg,"Ella's Kitchen Organic Apples, Carrots & Parsnips Baby Food Pouch 4+ Months 120g",20240413,baby_products,False
Sains,1.3,10.8,kg,Ella's Kitchen Organic Peaches & Bananas Baby Food Pouch 4+ Months 120g,20240413,baby_products,False
Sains,1.3,13.0,kg,Ella's Kitchen Organic Banana Baby Brekkie Baby Food Breakfast Pouch 6+ Months 100g,20240413,baby_products,False
Sains,0.9,12.9,kg,Ella's Kitchen Organic Mangoes Mangoes Mangoes First Tastes Baby Food Pouch 4+ Months 70g,20240413,baby_products,False
Sains,1.3,6.5,kg,Sainsbury's Little Ones 100% Cotton Pleats 200g,20240413,baby_products,True
Sains,0.9,75.0,kg,Kiddylicious Veggie Straws 12g,20240413,baby_products,False
Sains,0.8,133.3,kg,Kiddylicious Banana Mango & Passion Fruit Smoothie Melts Snack 6g 12 Months+,20240413,baby_products,False
Sains,1.3,10.8,kg,"Ella's Kitchen Organic Mangoes, Pears & Papaya Baby Food Pouch 4+ Months 120g",20240413,baby_products,False
Sains,2.5,18.5,kg,Organix Gingerbread Men Biscuits Toddler Snacks 12 months+ 135g,20240413,baby_products,False
Sains,0.8,66.7,kg,Kiddylicious Strawberry Fruit Wriggles Snack 12g 12 Month+,20240413,baby_products,False
Sains,2.5,14.9,kg,Organix Mini Organic Raisin Snack Boxes Toddler Snacks Multipack 12 months+ 12x14g,20240413,baby_products,False
Sains,2.5,0.21,unit,Always Discreet Incontinence Pads Normal For Sensitive Bladder x12,20240413,baby_products,False
Sains,1.3,81.3,kg,Ella's Kitchen Organic Tomato & Basil Melty Sticks Baby Snack 7+ Months 16g,20240413,baby_products,False
Sains,0.49,7.0,kg,"Sainsbury's Little Ones Organic Pear, Prune & Banana Smooth Puree 4+ Months 70g",20240413,baby_products,True
Sains,1.3,10.8,kg,"Ella's Kitchen Organic Pears, Peas & Broccoli Baby Food Pouch 4+ Months 120g",20240413,baby_products,False
Sains,1.25,10.0,kg,Tilda Kids Sunshine Vegetable Rice 125g,20240413,baby_products,False
Sains,2.81,0.06,unit,Sainsbury's Little Ones Dry Fit Size 4+ Maxi Plus 44 Nappies,20240413,baby_products,True
Sains,1.5,37.5,kg,Organix Apple Rice Cake Clouds Organic Baby Snacks 7 months+ 40g,20240413,baby_products,False
Sains,6.0,2.4,l,Dettol Antibacterial Laundry Cleanser Cotton Breeze 2.5L,20240413,baby_products,False
Sains,0.75,0.01,unit,Sainsbury's Little Ones Cotton Wool Balls x100,20240413,baby_products,True
Sains,3.33,0.11,unit,Sainsbury's Little Ones Dry Fit Size 6+ 30 Nappies,20240413,baby_products,True
Sains,5.25,5.25,l,Aptamil 1 First Baby Milk Formula From Birth 1L,20240413,baby_products,False
Sains,2.5,31.3,kg,Organix Mini Cheese Crackers Toddler Snacks Multipack 12 months+ 4x20g,20240413,baby_products,False
Sains,1.4,28.0,l,"Sure Women Anti-Perspirant Deodorant Roll On, Bright Bouquet 50ml",20240413,baby_products,False
Sains,2.89,0.05,unit,Sainsbury's Little Ones Dry Fit Size 3 Midi 56 Nappies,20240413,baby_products,True
Sains,2.0,20.0,kg,Organix Farm Animal Biscuits Toddler Snacks 12 months+ 100g,20240413,baby_products,False
Sains,1.0,16.7,kg,Heinz Apple Biscotti Baby Food Snacks 7+ Months 60g,20240413,baby_products,False
Sains,13.5,16.88,kg,Aptamil 1 First Baby Milk Formula From Birth 800g,20240413,baby_products,False
Sains,0.49,7.0,kg,Sainsbury's Little Ones Organic Apple & Mango 4+ Months 70g,20240413,baby_products,True
