supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand,year,month,day,dayofweek
Aldi,2.99,6.6,kg,Mamia Organic Red Burst Purée 5x90g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,2.99,6.6,kg,Mamia Organic Purple Burst Purée 5x90g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.59,5.9,kg,Mamia Summer Fruits Jelly Pouches 4x100g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.59,5.9,kg,Mamia Apple & Blackcurrant Jelly Pouches 4x100g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.79,37.3,kg,Mamia Organic Sweetcorn Rings 4x12g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.79,37.3,kg,Mamia Organic Cauliflower Puffs 4x12g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.55,27.5,kg,Mamia Organic Carrot Puffs 20g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.55,27.5,kg,Mamia Organic Tomato Wheels 20g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.75,18.8,kg,Mamia 7+ Months Organic Apple Rice Cakes 40g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.59,4.9,kg,"Mamia Organic Apples, Carrots & Parsnips Fruit Pouch 12",1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.59,4.9,kg,Mamia Organic Strawberries & Apples Fruit Pouch 120g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.59,4.9,kg,Mamia Organic Bananas & Apples Fruit Pouch 120g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.59,4.9,kg,"Mamia Organic Mangoes, Apples, Bananas & Peaches Fruit",1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.65,7.2,kg,Mamia Organic Mixed Fruit Greek Style Yogurt Pouch 90g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,0.65,7.2,kg,Mamia Organic Mango Greek Style Yoghurt 90g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
