supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
ASDA,2.5,12.5,kg,ASDA Rich Roast Instant Coffee Granules Decaffeinated 200g,20240413,drinks,True
ASDA,2.25,20.1,kg,Taylors of Harrogate Yorkshire Tea Biscuit Brew 40 Tea Bags,20240413,drinks,False
ASDA,2.25,22.5,kg,Taylors of Harrogate Yorkshire Tea Bedtime Brew 40 Tea Bags,20240413,drinks,False
ASDA,5.0,52.6,kg,Nescafe Gold Blend Cap Colombia Instant Coffee,20240413,drinks,False
ASDA,5.25,10.5,kg,ASDA Instant Granules Rich Roast Roasted Coffee 500g,20240413,drinks,True
ASDA,5.0,25.0,kg,Twinings Pure Green Tea 80 Tea Bags,20240413,drinks,False
ASDA,2.85,11.4,kg,Taylors of Harrogate Yorkshire Tea Black Loose Leaf Tea,20240413,drinks,False
ASDA,3.3,13.2,kg,Taylors of Harrogate Yorkshire Tea 80 Tea Bags,20240413,drinks,False
ASDA,2.0,20.0,kg,Tetley Pure Green Tea 50 Tea Bags,20240413,drinks,False
ASDA,3.5,10.9,kg,Sweet Freedom Choc Shot Liquid Hot Chocolate,20240413,drinks,False
ASDA,2.5,50.0,kg,Twinings Pure Green Tea 20 Tea Bags,20240413,drinks,False
ASDA,3.9,15.6,kg,Taylors of Harrogate Yorkshire Tea Gold 80 Tea Bags,20240413,drinks,False
ASDA,2.0,20.0,kg,Tetley Green Tea with Lemon 50 Tea Bags,20240413,drinks,False
ASDA,2.0,20.0,kg,Tetley Green Tea Decaf 50 Tea Bags,20240413,drinks,False
ASDA,6.3,12.6,kg,Taylors of Harrogate Yorkshire Tea Decaf 160 Tea Bags,20240413,drinks,False
ASDA,2.5,62.5,kg,Twinings Mint Green Tea 20 Tea Bags,20240413,drinks,False
ASDA,2.5,62.5,kg,Twinings Lemon Green Tea 20 Tea Bags,20240413,drinks,False
ASDA,1.75,14.0,kg,Taylors of Harrogate Yorkshire Tea 40 Tea Bags,20240413,drinks,False
ASDA,2.5,62.5,kg,Twinings Pomegranate Green Tea 20 Tea Bags,20240413,drinks,False
ASDA,5.5,10.3,kg,Clipper Organic Everyday Tea 160 Tea bags,20240413,drinks,False
ASDA,8.3,16.6,kg,Lavazza Decaffeinated Coffee Beans,20240413,drinks,False
ASDA,0.75,18.8,kg,ASDA Green Tea with Lemon 20 Tea Bags,20240413,drinks,True
ASDA,4.0,20.0,kg,Costa Coffee Mocha Italia Signature Blend Coffee Beans,20240413,drinks,False
ASDA,2.8,70.0,kg,Twinings Peach & Orange Tea 20 Tea Bags,20240413,drinks,False
ASDA,3.3,20.6,kg,Clipper Fairtrade Pure Green Tea 80 Tea Bags,20240413,drinks,False
ASDA,2.8,77.8,kg,Twinings Rooibos & Honey Tea 20 Tea Bags,20240413,drinks,False
ASDA,2.0,26.7,kg,Taylors of Harrogate Rich Italian Coffee Bags 10 Pack,20240413,drinks,False
ASDA,3.85,15.4,kg,Taylors of Harrogate Yorkshire Tea Decaf 80 Tea Bags,20240413,drinks,False
ASDA,3.0,10.5,kg,Clipper Organic Everyday Tea 80 Tea bags,20240413,drinks,False
ASDA,1.7,6.8,l,Jimmy's Coffee Original,20240413,drinks,False
