Model,MAE,RMSE,R2 Score
XGBoost,1.9290109035720426,4.579642169880912,0.6332374918778232
Random Forest,1.858731666361227,4.584060995980121,0.632529383445876
Gradient Boosting,2.214511622055327,4.894215172098157,0.5811216052696317
Linear Regression,3.4406309335481327,6.7977793446315955,0.19191700239010934
